Congruent,Incongruent,Difference ,Range,,,,
12.079,19.278,7.199,1,mean Con -->,14.051125,standard error -->,3.559357958
16.791,18.741,1.95,2,mean InCon --> ,22.01591667,standard error -->,4.797057122
9.564,21.214,11.65,3,mean of Differ -->,7.964791667,standard error -->,4.86482691
8.63,15.687,7.057,4,,,,
14.669,22.803,8.134,5,t-statistics-->,8.020706944,,
12.238,20.878,8.64,6,margin-error-->,2.055370668,,
14.692,24.572,9.88,7,Cohen's d-->,1.637219949,,
8.987,17.394,8.407,8,,,,
9.401,20.762,11.361,9,,,,
14.48,26.282,11.802,10,,,,
22.328,24.524,2.196,11,,,,
15.298,18.644,3.346,12,,,,
15.073,17.51,2.437,13,,,,
16.929,20.33,3.401,14,,,,
18.2,35.255,17.055,15,,,,
12.13,22.158,10.028,16,,,,
18.495,25.139,6.644,17,,,,
10.639,20.429,9.79,18,,,,
11.344,17.425,6.081,19,,,,
12.369,34.288,21.919,20,,,,
12.944,23.894,10.95,21,,,,
14.233,17.96,3.727,22,,,,
19.71,22.058,2.348,23,,,,
16.004,21.157,5.153,24,,,,